id,name,symbol,rank,is_new,is_active,type
phb-red-pulse-phoenix,Phoenix Global,PHB,424,False,True,token
hc-hypercash,HyperCash,HC,425,False,True,coin
get-get-protocol,GET Protocol,GET,426,False,True,token
fct-firmachain,Firmachain,FCT,428,False,True,token
eac-earthcoin,EarthCoin,EAC,428,False,True,coin
safe-safe,Safe,SAFE,429,False,True,coin
basid-basid-coin,Basid Coin,BASID,430,False,True,token
ast-airswap,AirSwap,AST,431,False,True,token
wicc-waykichain,WaykiChain,WICC,432,False,True,coin
bax-babb,BABB,BAX,433,False,True,token
asta-asta,ASTA,ASTA,434,False,True,token
wxt-wirex-token,Wirex Token,WXT,435,False,True,token
pai-project-pai,Project Pai,PAI,436,False,True,coin
loki-loki,Loki,LOKI,437,False,True,coin
vidt-v-id,VIDT Datalink,VIDT,438,False,True,token
vtc-vertcoin,Vertcoin,VTC,439,False,True,coin
one-menlo-one,Menlo One,ONE,440,False,True,token
nim-nimiq,Nimiq,NIM,441,False,True,coin
nav-navcoin,NavCoin,NAV,442,False,True,coin
boa-bosagora,BOSAGORA,BOA,443,False,True,token
stc-student-coin,Student Coin,STC,444,False,True,token
socks-unisocks,Unisocks,SOCKS,445,False,True,token
png-pangolin,Pangolin,PNG,446,False,True,token
rbc-rubic,Rubic,RBC,447,False,True,token
soul-phantasma,Phantasma,SOUL,448,False,True,token
bmx-bitmart-token,BitMart Token,BMX,449,False,True,token
dsla-dsla-protocol,DSLA Protocol,DSLA,450,False,True,token
basic-basic,BASIC,BASIC,451,False,True,token
card-cardstack,Cardstack,CARD,452,False,True,token
pib-pibble,PIBBLE,PIB,453,False,True,token
solve-solve,SOLVE,SOLVE,454,False,True,token
mdt-measurable-data-token,Measurable Data Token,MDT,455,False,True,token
lamb-lambda,Lambda,LAMB,456,False,True,token
tct-tokenclub,TokenClub,TCT,458,False,True,token
hai-hackenai,HackenAI,HAI,459,False,True,token
id-everest,Everest,ID,459,False,True,token
lcx-lcx,LCX,LCX,460,False,True,token
sky-skycoin,Skycoin,SKY,461,False,True,coin
ask-permission-coin,Permission Coin,ASK,462,False,True,coin
vee-blockv,BLOCKv,VEE,463,False,True,token
lotto-lotto,Lotto,LOTTO,464,False,True,token
dxd-dxdao,DXdao,DXD,465,False,True,token
nas-nebulas,Nebulas,NAS,466,False,True,coin
tlos-telos,Telos,TLOS,467,False,True,token
dep-deapcoin,DEAPcoin,DEP,468,False,True,token
val-validity,Validity,VAL,469,False,True,coin
sntvt-sentivate,Sentivate,SNTVT,470,False,True,token
zcn-0chain,0Chain,ZCN,471,False,True,token
mhc-metahash,#MetaHash,MHC,472,False,True,coin
abst-abitshadow-token,Abitshadow Token,ABST,473,False,True,token
wabi-wabi,Wabi,WABI,474,False,True,token
frm-ferrum-network,Ferrum Network,FRM,475,False,True,token
grin-grin,Grin,GRIN,476,False,True,coin
rcn-ripio-credit-network,Ripio Credit Network,RCN,477,False,True,token
elon-dogelon-mars,Dogelon Mars,ELON,478,False,True,token
btr-bitrue-coin,Bitrue Coin,BTR,479,False,True,token
like-likecoin,LikeCoin,LIKE,480,False,True,token
lgo-lgo-token,LGO Token,LGO,481,False,True,token
ton-tokamak-network,Tokamak Network,TON,482,False,True,token
zano-zano,Zano,ZANO,482,False,True,coin
usdk-usdk,USDK,USDK,484,False,True,token
xsgd-xsgd,XSGD,XSGD,485,False,True,token
map-map-protocol,MAP Protocol,MAP,486,False,True,token
swth-switcheo,Switcheo,SWTH,487,False,True,token
nebl-neblio,Neblio,NEBL,488,False,True,coin
bz-bit-z-token,Bit-Z Token,BZ,489,False,True,token
snow-snowblossom,SnowBlossom,SNOW,490,False,True,coin
nct-polyswarm,PolySwarm,NCT,491,False,True,token
ppc-peercoin,Peercoin,PPC,492,False,True,coin
rdn-raiden-network-token,Raiden Network Token,RDN,493,False,True,token
bnk-bankera,Bankera,BNK,494,False,True,token
fis-stafi,Stafi,FIS,495,False,True,coin
qash-qash,QASH,QASH,496,False,True,token
soc-all-sports,All Sports,SOC,497,False,True,token
suter-suterusu,Suterusu,SUTER,498,False,True,token
dpet-my-defi-pet,My DeFi Pet,DPET,499,False,True,token
cgg-chain-guardians,Chain Guardians,CGG,500,False,True,token
bepro-bet-protocol,BetProtocol,BEPRO,500,False,True,token
ghx-gamercoin,GamerCoin,GHX,502,False,True,token
hez-hermez-network,Hermez Network,HEZ,502,False,True,token
ads-adshares,Adshares,ADS,504,False,True,coin
salt-salt,SALT,SALT,505,False,True,token
time-chronotech,Chrono.tech,TIME,506,False,True,token
gbyte-obyte,Obyte,GBYTE,507,False,True,coin
dbc-deepbrain-chain,DeepBrain Chain,DBC,508,False,True,token
ignis-ignis,Ignis,IGNIS,509,False,True,token
ncash-nucleus-vision,Nucleus Vision,NCASH,510,False,True,token
aleph-alephim,aleph.im,ALEPH,511,False,True,token
